course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,text_profile
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,"(ISC)² Systems Security Certified Practitioner (SSCP) by (ISC)², Beginner level, SPECIALIZATION"
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,"A Crash Course in Causality:  Inferring Causal Effects from Observational Data by University of Pennsylvania, Intermediate level, COURSE"
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,"A Crash Course in Data Science by Johns Hopkins University, Mixed level, COURSE"
A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,"A Law Student's Toolkit by Yale University, Mixed level, COURSE"
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,"A Life of Happiness and Fulfillment by Indian School of Business, Mixed level, COURSE"
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,"ADHD: Everyday Strategies for Elementary Students by University at Buffalo, Beginner level, COURSE"
AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,"AI For Everyone by deeplearning.ai, Beginner level, COURSE"
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,"AI For Medical Treatment by deeplearning.ai, Intermediate level, COURSE"
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,"AI Foundations for Everyone by IBM, Beginner level, SPECIALIZATION"
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,"AI for Medical Diagnosis by deeplearning.ai, Intermediate level, COURSE"
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,"AI for Medical Prognosis by deeplearning.ai, Intermediate level, COURSE"
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,"AI for Medicine by deeplearning.ai, Intermediate level, SPECIALIZATION"
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,"AWS Fundamentals by Amazon Web Services, Beginner level, SPECIALIZATION"
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,"AWS Fundamentals: Addressing Security Risk by Amazon Web Services, Beginner level, COURSE"
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,"AWS Fundamentals: Building Serverless Applications by Amazon Web Services, Beginner level, COURSE"
